   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    186000   8670.6893      855353.51      8000          -1850.9677      886.53267     -964.43507      3306.5227    
    187000   8111.0026      863034.78      8000          -1802.4353      829.30763     -973.1277       3336.1842    
    188000   8374.0123      851931.41      8000          -1837.9745      856.199       -981.77551      3272.0949    
    189000   8201.1534      848757.21      8000          -1828.8789      838.52508     -990.35383      3247.6672    
    190000   8440.42        844093.51      8000          -1861.9312      862.98884     -998.94241      3215.7918    
    191000   8562.7609      841301.34      8000          -1882.853       875.49756     -1007.3555      3193.4369    
    192000   8047.2527      848504.05      8000          -1838.4799      822.78954     -1015.6903      3221.0666    
    193000   7993.4205      845371.52      8000          -1841.2066      817.28548     -1023.9211      3197.1945    
    194000   8209.5643      834121.17      8000          -1871.5664      839.38505     -1032.1814      3132.7589    
    195000   8208.377       832064.4       8000          -1879.6214      839.26366     -1040.3578      3114.3126    
    196000   8197.0705      828759.27      8000          -1886.5325      838.10762     -1048.4249      3089.7423    
    197000   8132.3532      829707.13      8000          -1887.9723      831.49062     -1056.4817      3086.4183    
    198000   7614.7805      841732.25      8000          -1842.8841      778.57152     -1064.3126      3138.6313    
    199000   7860.7447      826777.08      8000          -1875.9048      803.72008     -1072.1847      3056.085     
    200000   7934.3991      823518.27      8000          -1891.1996      811.25085     -1079.9487      3032.049     
    201000   7784.9757      827886.34      8000          -1883.7389      795.97309     -1087.7658      3046.0427    
    202000   7744.4634      822488.84      8000          -1887.2268      791.83091     -1095.3958      3011.4618    
    203000   7787.8932      815597.66      8000          -1899.3111      796.27138     -1103.0397      2969.4088    
    204000   7626.1904      819356.99      8000          -1890.3811      779.73812     -1110.643       2980.5766    
    205000   7982.1799      805837         8000          -1934.3454      816.13619     -1118.2093      2905.5022    
    206000   7557.2049      819225.97      8000          -1898.3406      772.68471     -1125.6559      2964.9095    
    207000   7390.7831      813450.65      8000          -1888.666       755.66895     -1132.997       2928.731     
    208000   7484.2774      810218.92      8000          -1905.6059      765.22825     -1140.3776      2905.2138    
    209000   7205.6981      813454.14      8000          -1884.4549      736.74498     -1147.7099      2914.0355    
    210000   7506.7438      806125.45      8000          -1922.5185      767.52532     -1154.9932      2870.1586    
    211000   7404.5989      807848.39      8000          -1919.193       757.08154     -1162.1115      2871.6433    
    212000   7340.1408      803022.16      8000          -1919.6881      750.49105     -1169.1971      2840.4594    
    213000   7253.7193      802646.96      8000          -1917.919       741.65489     -1176.2641      2831.5188    
    214000   7407.4535      794482.71      8000          -1940.6074      757.37341     -1183.234       2783.7832    
    215000   7258.067       796225.31      8000          -1932.2529      742.09942     -1190.1535      2785.5648    
    216000   7294.3796      794570.46      8000          -1942.8988      745.8122      -1197.0867      2770.3687    
    217000   7138.1527      798150.62      8000          -1933.7745      729.83882     -1203.9357      2781.3961    
    218000   6931.4173      800504.23      8000          -1919.4147      708.70121     -1210.7135      2786.3704    
    219000   7195.0283      787899.32      8000          -1953.1511      735.65405     -1217.4971      2716.6479    
    220000   7207.6273      786408.98      8000          -1961.1852      736.94223     -1224.243       2702.4604    
    221000   7032.1653      786540.75      8000          -1949.86        719.00216     -1230.8578      2696.5035    
    222000   6851.8461      785683.05      8000          -1938.0538      700.56546     -1237.4884      2685.5903    
    223000   6722.1506      792662.81      8000          -1931.4012      687.30477     -1244.0964      2713.8336    
    224000   7140.6969      774038         8000          -1980.7674      730.09894     -1250.6684      2614.264     
    225000   7147.1311      769014.21      8000          -1987.9185      730.75681     -1257.1617      2582.686     
    226000   6996.6936      773064.41      8000          -1978.8797      715.37536     -1263.5044      2596.5668    
    227000   6675.4851      780371.49      8000          -1952.3472      682.53347     -1269.8137      2626.7432    
    228000   6542.3159      781526.89      8000          -1945.0744      668.91761     -1276.1568      2626.1693    
    229000   6699.5181      771846.99      8000          -1967.3854      684.99072     -1282.3947      2571.5976    
