#	Time-averaged	data	for	fix	savemsd
#	TimeStep	c_msd[1]	c_msd[2]	c_msd[3]	c_msd[4]
377000	28.2708	38.7888	300.718	367.778
378000	25.5933	39.1568	294.577	359.328
379000	24.0623	36.4501	298.214	358.726
380000	22.5016	40.2957	301.371	364.168
381000	22.5181	39.4175	305.689	367.624
382000	21.6306	44.4327	302.753	368.817
383000	22.1144	44.0803	296.381	362.576
384000	22.5132	44.8343	300.98	368.328
385000	21.8084	48.3864	297.625	367.82
386000	24.2317	43.9218	302.123	370.276
387000	24.7785	43.5192	299.532	367.83
388000	27.5621	43.2796	312.108	382.949
389000	27.0611	44.0383	318.732	389.831
390000	30.7392	41.6285	332.84	405.208
391000	31.2923	41.1886	337.724	410.205
392000	29.9185	40.0362	335.234	405.189
393000	31.4756	37.7497	337.637	406.862
394000	31.0619	38.8731	337.475	407.41
395000	27.8094	35.8416	328.626	392.277
396000	30.8839	35.4119	337.607	403.902
397000	29.7627	31.8157	339.327	400.905
398000	31.4936	30.061	353.41	414.964
399000	29.7199	29.2328	354.027	412.98
400000	28.8836	29.5245	352.692	411.1
401000	28.8081	29.4451	351.742	409.995
402000	26.7035	27.9853	350.878	405.566
403000	25.9877	27.0301	346.381	399.399
404000	26.4958	26.5029	347.717	400.716
405000	26.7621	28.7937	344.76	400.316
406000	26.747	27.7662	346.929	401.442
407000	20.793	30.3539	352.047	403.194
408000	19.5096	34.0974	349.308	402.915
409000	18.3508	33.5774	351.691	403.619
410000	19.0753	31.2966	360.647	411.019
411000	20.5456	31.7556	360.737	413.038
412000	19.7096	32.5378	368.124	420.371
413000	21.7502	31.7446	358.058	411.553
414000	21.336	32.6371	358.418	412.391
415000	23.9474	32.4477	354.284	410.679
416000	24.392	34.1491	352.852	411.393
417000	26.9454	34.9975	354.434	416.377
418000	26.7172	35.3919	350.052	412.161
419000	27.2471	39.6054	359.099	425.951
420000	25.5943	41.6175	362.951	430.163
421000	25.597	42.6376	361.337	429.572
422000	26.182	43.1864	367.158	436.526
423000	22.3169	45.377	366.4	434.094
424000	25.8736	41.1019	362.418	429.393
425000	25.3983	42.5771	363.318	431.293
426000	24.9013	40.9436	361.343	427.188
427000	23.5426	43.6331	372.289	439.465
428000	23.5123	43.4694	366.006	432.988
429000	25.104	44.8499	366.889	436.843
430000	26.0878	41.0399	368.759	435.887
431000	29.0811	37.3575	364.391	430.83
432000	28.7363	37.9066	368.053	434.696
433000	33.2823	33.8827	371.773	438.938
434000	31.2778	34.2398	368.39	433.908
435000	24.5382	37.1271	370.308	431.974
436000	25.9214	35.4149	375.194	436.531
437000	24.4187	36.7946	377.401	438.614
438000	23.1589	37.9215	374.969	436.049
439000	26.14	36.7032	363.339	426.182
440000	26.2052	35.7472	362.949	424.901
441000	28.6277	35.453	369.51	433.591
442000	28.8372	32.3805	367.468	428.686
443000	29.506	31.161	368.41	429.077
444000	29.4344	28.3836	362.482	420.3
445000	27.4843	27.8183	364.243	419.546
446000	29.3645	27.7667	364.575	421.707
447000	31.4234	27.4398	363.803	422.666
448000	32.2566	26.7488	372.147	431.152
449000	29.6624	27.6	369.083	426.346
450000	32.2638	27.4989	367.687	427.449
451000	28.141	31.2538	370.734	430.129
452000	29.7326	30.5631	377.243	437.539
453000	27.4935	30.5556	373.601	431.65
454000	24.8703	32.0953	379.468	436.433
455000	21.9749	34.7884	379.944	436.707
456000	20.1719	38.446	380.479	439.097
457000	19.593	37.2454	381.486	438.325
458000	20.3456	41.6455	382.733	444.724
459000	19.6096	42.0055	384.943	446.558
460000	20.0501	43.1132	389.716	452.88
461000	21.2139	38.3329	387.507	447.053
462000	20.8712	40.3908	386.933	448.195
463000	20.6728	39.1474	390.81	450.63
464000	19.2655	41.0886	386.643	446.997
465000	23.9614	41.4405	391.173	456.575
466000	24.6446	38.5894	393.468	456.702
467000	25.7367	38.6458	396.024	460.407
468000	27.4987	37.3136	407.429	472.241
469000	28.2403	37.4361	407.993	473.67
470000	28.0884	36.4809	409.555	474.125
471000	29.2108	35.0123	417.415	481.638
472000	31.0457	34.4541	415.881	481.381
473000	35.7458	31.2286	416.868	483.842
474000	31.573	34.3896	421.734	487.697
475000	30.7129	38.2818	420.97	489.965
476000	34.2198	36.1984	421.59	492.008
477000	33.0498	36.5616	427.771	497.382
478000	35.9666	34.3603	428.134	498.461
479000	31.5688	33.6598	425.513	490.742
480000	35.1114	31.02	420.366	486.498
481000	28.1578	33.7358	425.252	487.146
482000	29.0206	33.0936	428.956	491.07
483000	27.1749	31.8888	431.722	490.786
484000	27.8034	33.1002	428.572	489.476
485000	26.8776	31.507	429.93	488.315
486000	27.213	29.0302	424.282	480.525
487000	26.0492	30.7855	422.086	478.921
488000	26.5585	30.7378	424.213	481.509
489000	25.9079	31.1787	427.766	484.853
490000	23.7127	31.1154	422.496	477.324
491000	25.1875	31.5375	429.223	485.948
492000	21.924	32.375	429.122	483.421
493000	23.7305	32.3682	431.295	487.393
494000	23.8107	33.5438	434.074	491.429
495000	20.3151	34.0345	437.589	491.939
496000	19.8595	34.8091	438.899	493.567
497000	22.6443	32.8232	435.557	491.024
498000	20.5947	38.2798	429.178	488.053
499000	20.901	38.2359	428.106	487.242
500000	22.5922	37.9288	429.835	490.356
