   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    236000   2905.4549     -2687.8222      12419.207     -2887.236       324.10787     -2563.1281     -2583.9626    
    237000   2927.2552      338.08954      12419.207     -2881.7269      326.53973     -2555.1872     -2552.5665    
    238000   3033.2968     -3545.2812      12419.207     -2895.1006      338.36882     -2556.7318     -2584.2129    
    239000   3005.9392     -3320.8562      12419.207     -2890.0132      335.31704     -2554.6962     -2580.4377    
    240000   2796.3584     -10017.422      12419.207     -2897.0874      311.93799     -2585.1494     -2662.7991    
    241000   3043.1592      3505.435       12419.207     -2873.4948      339.46899     -2534.0258     -2506.8536    
    242000   2974.5723      969.95491      12419.207     -2882.8301      331.81801     -2551.0121     -2543.4935    
    243000   2998.4402     -1703.3115      12419.207     -2887.1416      334.48052     -2552.661      -2565.8642    
    244000   2936.3716     -4850.0541      12419.207     -2895.1075      327.55667     -2567.5508     -2605.1458    
    245000   2968.1535      22.541246      12419.207     -2886.4269      331.10199     -2555.3249     -2555.1501    
    246000   2990.8793     -5255.0376      12419.207     -2892.0507      333.63709     -2558.4137     -2599.1479    
    247000   2882.3211      705.18142      12419.207     -2874.4665      321.52725     -2552.9393     -2547.4731    
    248000   3083.7004      1356.2131      12419.207     -2883.1671      343.99142     -2539.1757     -2528.663     
    249000   2910.4687     -4372.1802      12419.207     -2895.4171      324.66717     -2570.7499     -2604.6407    
    250000   3051.8655     -1370.6672      12419.207     -2888.0408      340.44019     -2547.6006     -2558.2253    
    251000   2928.2312      6716.5478      12419.207     -2865.7513      326.6486      -2539.1027     -2487.0396    
    252000   2968.143      -1091.3986      12419.207     -2888.3506      331.10082     -2557.2498     -2565.7097    
    253000   3023.8344     -1558.5649      12419.207     -2887.2298      337.31328     -2549.9166     -2561.9977    
    254000   3072.3596     -2027.4882      12419.207     -2888.257       342.72633     -2545.5307     -2561.2467    
    255000   2878.9525      279.47179      12419.207     -2882.0473      321.15149     -2560.8958     -2558.7295    
